Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Total Confirmed cases,%share of infected cases,1 / (% share of infected cases),Population Share,(Population share) / (% share of infected cases),Recovery Rate,Death Rate,Population,Infection Rate,Susceptible Population,Rate of change of susceptible population,Action,Reward
10-Mar-20,Delhi,4,0,0,0,4,66.66666667,0.015,8.59445833,0.128916875,0,0,16787941,2.38E-05,16787937,0,0,0
10-Mar-20,Maharashtra,2,0,0,0,2,33.33333333,0.03,57.5291825,1.725875475,0,0,112374333,1.78E-06,112374331,0,0,0
11-Mar-20,Delhi,5,0,0,0,5,83.33333333,0.012,8.59445833,0.1031335,0,0,16787941,2.98E-05,16787936,-5.96E-06,1,0
11-Mar-20,Maharashtra,2,0,0,0,2,33.33333333,0.03,57.5291825,1.725875475,0,0,112374333,1.78E-06,112374331,0,0,0
12-Mar-20,Delhi,6,0,0,0,6,35.29411765,0.028333333,8.59445833,0.243509653,0,0,16787941,3.57E-05,16787935,-5.96E-06,1,0
12-Mar-20,Maharashtra,11,0,0,0,11,64.70588235,0.015454545,57.5291825,0.889087366,0,0,112374333,9.79E-06,112374322,-8.01E-06,1,0
13-Mar-20,Delhi,7,0,1,1,7,33.33333333,0.03,8.59445833,0.25783375,14.28571429,14.28571429,16787941,4.17E-05,16787934,-5.96E-06,1,15652965.91
13-Mar-20,Maharashtra,14,0,0,0,14,66.66666667,0.015,57.5291825,0.862937738,0,0,112374333,1.25E-05,112374319,-2.67E-06,1,0
14-Mar-20,Delhi,7,0,1,1,7,33.33333333,0.03,8.59445833,0.25783375,14.28571429,14.28571429,16787941,4.17E-05,16787934,0,0,16787934
14-Mar-20,Maharashtra,14,0,0,0,14,66.66666667,0.015,57.5291825,0.862937738,0,0,112374333,1.25E-05,112374319,0,0,0
15-Mar-20,Delhi,7,0,2,1,7,17.94871795,0.055714286,8.59445833,0.478834107,28.57142857,14.28571429,16787941,4.17E-05,16787934,0,0,16787934
15-Mar-20,Maharashtra,32,0,0,0,32,82.05128205,0.0121875,57.5291825,0.701136912,0,0,112374333,2.85E-05,112374301,-1.60E-05,1,0
16-Mar-20,Delhi,7,0,2,1,7,17.94871795,0.055714286,8.59445833,0.478834107,28.57142857,14.28571429,16787941,4.17E-05,16787934,0,0,16787934
16-Mar-20,Maharashtra,32,0,0,0,32,82.05128205,0.0121875,57.5291825,0.701136912,0,0,112374333,2.85E-05,112374301,0,0,0
17-Mar-20,Delhi,8,0,2,1,8,17.0212766,0.05875,8.59445833,0.504924427,25,12.5,16787941,4.77E-05,16787933,-5.96E-06,1,15497215.37
17-Mar-20,Maharashtra,36,3,0,1,39,82.9787234,0.012051282,57.5291825,0.693300405,0,2.564102564,112374333,3.47E-05,112374294,-6.23E-06,1,76083788.27
18-Mar-20,Delhi,9,1,2,1,10,19.23076923,0.052,8.59445833,0.446911833,20,10,16787941,5.96E-05,16787931,-1.19E-05,1,15190348.14
18-Mar-20,Maharashtra,39,3,0,1,42,80.76923077,0.012380952,57.5291825,0.712266069,0,2.380952381,112374333,3.74E-05,112374291,-2.67E-06,1,73835170.53
19-Mar-20,Delhi,11,1,3,1,12,20.33898305,0.049166667,8.59445833,0.422560868,25,8.333333333,16787941,7.15E-05,16787929,-1.19E-05,1,14889557.32
19-Mar-20,Maharashtra,44,3,0,1,47,79.66101695,0.012553191,57.5291825,0.722174844,0,2.127659574,112374333,4.18E-05,112374286,-4.45E-06,1,70234183.64
20-Mar-20,Delhi,16,1,5,1,17,24.63768116,0.040588235,8.59445833,0.348833897,29.41176471,5.882352941,16787941,0.000101263,16787924,-2.98E-05,1,14163380.82
20-Mar-20,Maharashtra,49,3,0,1,52,75.36231884,0.013269231,57.5291825,0.763367999,0,1.923076923,112374333,4.63E-05,112374281,-4.45E-06,1,66808819.12
21-Mar-20,Delhi,25,1,5,1,26,29.21348315,0.034230769,8.59445833,0.29419492,19.23076923,3.846153846,16787941,0.000154873,16787915,-5.36E-05,1,12944348.48
21-Mar-20,Maharashtra,60,3,0,1,63,70.78651685,0.014126984,57.5291825,0.812713848,0,1.587301587,112374333,5.61E-05,112374270,-9.79E-06,1,59849614.84
22-Mar-20,Delhi,28,1,5,1,29,30.20833333,0.033103448,8.59445833,0.284506207,17.24137931,3.448275862,16787941,0.000172743,16787912,-1.79E-05,1,12561782.93
22-Mar-20,Maharashtra,64,3,0,2,67,69.79166667,0.014328358,57.5291825,0.824298734,0,2.985074627,112374333,5.96E-05,112374266,-3.56E-06,1,80385592.4
23-Mar-20,Delhi,28,1,5,1,29,28.15533981,0.035517241,8.59445833,0.305251451,17.24137931,3.448275862,16787941,0.000172743,16787912,0,0,16787912
23-Mar-20,Maharashtra,71,3,0,2,74,71.84466019,0.013918919,57.5291825,0.800744027,0,2.702702703,112374333,6.59E-05,112374259,-6.23E-06,1,77620758.57
24-Mar-20,Delhi,29,1,6,2,30,25.21008403,0.039666667,8.59445833,0.340913514,20,6.666666667,16787941,0.0001787,16787911,-5.96E-06,1,14449488.91
24-Mar-20,Maharashtra,86,3,0,2,89,74.78991597,0.013370787,57.5291825,0.769210418,0,2.247191011,112374333,7.92E-05,112374244,-1.33E-05,1,72012143.55
25-Mar-20,Delhi,30,1,6,1,31,19.49685535,0.051290323,8.59445833,0.44081254,19.35483871,3.225806452,16787941,0.000184656,16787910,-5.96E-06,1,12313041.49
25-Mar-20,Maharashtra,125,3,1,3,128,80.50314465,0.012421875,57.5291825,0.714620314,0.78125,2.34375,112374333,0.000113905,112374205,-3.47E-05,1,73344517.07
26-Mar-20,Delhi,35,1,6,1,36,22.5,0.044444444,8.59445833,0.381975926,16.66666667,2.777777778,16787941,0.00021444,16787905,-2.98E-05,1,11712523.88
26-Mar-20,Maharashtra,121,3,1,3,124,77.5,0.012903226,57.5291825,0.742312032,0.806451613,2.419354839,112374333,0.000110345,112374209,3.56E-06,0,112374209
27-Mar-20,Delhi,35,1,6,1,36,21.68674699,0.046111111,8.59445833,0.396300023,16.66666667,2.777777778,16787941,0.00021444,16787905,0,0,16787905
27-Mar-20,Maharashtra,127,3,15,4,130,78.31325301,0.012769231,57.5291825,0.734603407,11.53846154,3.076923077,112374333,0.000115685,112374203,-5.34E-06,1,81193435.51
28-Mar-20,Delhi,38,1,6,1,39,17.80821918,0.056153846,8.59445833,0.482611891,15.38461538,2.564102564,16787941,0.00023231,16787902,-1.79E-05,1,11366364.46
28-Mar-20,Maharashtra,177,3,25,5,180,82.19178082,0.012166667,57.5291825,0.699938387,13.88888889,2.777777778,112374333,0.000160179,112374153,-4.45E-05,1,78400786.21
29-Mar-20,Delhi,48,1,6,2,49,20.85106383,0.047959184,8.59445833,0.412183206,12.24489796,4.081632653,16787941,0.000291876,16787892,-5.96E-05,1,13139959.26
29-Mar-20,Maharashtra,183,3,25,6,186,79.14893617,0.012634409,57.5291825,0.726847198,13.44086022,3.225806452,112374333,0.000165518,112374147,-5.34E-06,1,82420476.08
30-Mar-20,Delhi,86,1,6,2,87,30.52631579,0.032758621,8.59445833,0.281542601,6.896551724,2.298850575,16787941,0.000518229,16787854,-0.000226354,1,10866184.73
30-Mar-20,Maharashtra,195,3,25,8,198,69.47368421,0.014393939,57.5291825,0.828071566,12.62626263,4.04040404,112374333,0.000176197,112374135,-1.07E-05,1,87736130.71
31-Mar-20,Delhi,96,1,6,2,97,30.99041534,0.032268041,8.59445833,0.277326336,6.18556701,2.06185567,16787941,0.000577796,16787844,-5.96E-05,1,10336228.49
31-Mar-20,Maharashtra,213,3,39,9,216,69.00958466,0.014490741,57.5291825,0.833640469,18.05555556,4.166666667,112374333,0.000192215,112374117,-1.60E-05,1,88396611.3
01-Apr-20,Assam,1,0,0,0,1,0.219298246,4.56,15.9754566,72.8480821,0,0,31205576,3.20E-06,31205575,0,0,0
01-Apr-20,Delhi,151,1,6,2,152,33.33333333,0.03,8.59445833,0.25783375,3.947368421,1.315789474,16787941,0.000905412,16787789,-0.000327618,1,7851085.3
01-Apr-20,Jharkhand,1,0,0,0,1,0.219298246,4.56,16.8880236,77.00938762,0,0,32988134,3.03E-06,32988133,0,0,0
01-Apr-20,Maharashtra,299,3,39,9,302,66.22807018,0.015099338,57.5291825,0.868652557,12.91390728,2.98013245,112374333,0.000268745,112374031,-7.65E-05,1,80340778.12
02-Apr-20,Assam,5,0,0,0,5,0.892857143,1.12,15.9754566,17.89251139,0,0,31205576,1.60E-05,31205571,-1.28E-05,1,0
02-Apr-20,Delhi,218,1,8,4,219,39.10714286,0.025570776,8.59445833,0.219766971,3.652968037,1.826484018,16787941,0.001304508,16787722,-0.0003991,1,9709917.499
02-Apr-20,Jharkhand,1,0,0,0,1,0.178571429,5.6,16.8880236,94.57293216,0,0,32988134,3.03E-06,32988133,0,0,0
02-Apr-20,Maharashtra,332,3,42,13,335,59.82142857,0.016716418,57.5291825,0.961681857,12.53731343,3.880597015,112374333,0.000298111,112373998,-2.94E-05,1,86846332.91
03-Apr-20,Assam,16,0,0,0,16,2.797202797,0.3575,15.9754566,5.711225735,0,0,31205576,5.13E-05,31205560,-3.53E-05,1,0
03-Apr-20,Delhi,218,1,8,4,219,38.28671329,0.026118721,8.59445833,0.224476263,3.652968037,1.826484018,16787941,0.001304508,16787722,0,0,16787722
03-Apr-20,Jharkhand,2,0,0,0,2,0.34965035,2.86,16.8880236,48.2997475,0,0,32988134,6.06E-06,32988132,-3.03E-06,1,0
03-Apr-20,Maharashtra,332,3,42,16,335,58.56643357,0.017074627,57.5291825,0.982289325,12.53731343,4.776119403,112374333,0.000298111,112373998,0,0,112373998
04-Apr-20,Assam,24,0,0,0,24,2.497398543,0.400416667,15.9754566,6.39683908,0,0,31205576,7.69E-05,31205552,-2.56E-05,1,0
04-Apr-20,Delhi,444,1,15,6,445,46.30593132,0.021595506,8.59445833,0.185601673,3.370786517,1.348314607,16787941,0.002650712,16787496,-0.001346222,2,3808749.768
04-Apr-20,Jharkhand,2,0,0,0,2,0.208116545,4.805,16.8880236,81.1469534,0,0,32988134,6.06E-06,32988132,0,0,0
04-Apr-20,Maharashtra,487,3,42,24,490,50.98855359,0.019612245,57.5291825,1.128276416,8.571428571,4.897959184,112374333,0.000436043,112373843,-0.000137932,1,91621368.97
05-Apr-20,Assam,26,0,0,0,26,2.544031311,0.393076923,15.9754566,6.279583325,0,0,31205576,8.33E-05,31205550,-6.41E-06,1,0
05-Apr-20,Delhi,502,1,18,7,503,49.21722114,0.020318091,8.59445833,0.17462299,3.578528827,1.391650099,16787941,0.002996198,16787438,-0.000345495,1,8183004.978
05-Apr-20,Jharkhand,3,0,0,0,3,0.293542074,3.406666667,16.8880236,57.53186706,0,0,32988134,9.09E-06,32988131,-3.03E-06,1,0
05-Apr-20,Maharashtra,487,3,42,24,490,47.94520548,0.020857143,57.5291825,1.199894378,8.571428571,4.897959184,112374333,0.000436043,112373843,0,0,112373843
06-Apr-20,Assam,26,0,0,0,26,1.998462721,0.500384615,15.9754566,7.993872706,0,0,31205576,8.33E-05,31205550,0,0,0
06-Apr-20,Delhi,522,1,19,7,523,40.19984627,0.024875717,8.59445833,0.213793313,3.632887189,1.338432122,16787941,0.003115331,16787418,-0.000119137,1,7952503.78
06-Apr-20,Jharkhand,4,0,0,0,4,0.307455803,3.2525,16.8880236,54.92829676,0,0,32988134,1.21E-05,32988130,-3.03E-06,1,0
06-Apr-20,Maharashtra,745,3,56,45,748,57.4942352,0.017393048,57.5291825,1.00060784,7.486631016,6.016042781,112374333,0.000665632,112373585,-0.000229591,1,95164471.99
07-Apr-20,Assam,26,0,0,0,26,1.763907734,0.566923077,15.9754566,9.056855011,0,0,31205576,8.33E-05,31205550,0,0,0
07-Apr-20,Delhi,575,1,21,7,576,39.07734057,0.025590278,8.59445833,0.219934576,3.645833333,1.215277778,16787941,0.003431034,16787365,-0.000315713,1,7372592.273
07-Apr-20,Jharkhand,4,0,0,0,4,0.271370421,3.685,16.8880236,62.23236697,0,0,32988134,1.21E-05,32988130,0,0,0
07-Apr-20,Maharashtra,865,3,56,48,868,58.88738128,0.016981567,57.5291825,0.976935657,6.451612903,5.529953917,112374333,0.000772418,112373465,-0.000106787,1,93784021.94
08-Apr-20,Assam,27,0,0,0,27,1.661538462,0.601851852,15.9754566,9.614858139,0,0,31205576,8.65E-05,31205549,-3.20E-06,1,0
08-Apr-20,Delhi,575,1,21,9,576,35.44615385,0.028211806,8.59445833,0.242465187,3.645833333,1.5625,16787941,0.003431034,16787365,0,0,16787365
08-Apr-20,Jharkhand,4,0,0,0,4,0.246153846,4.0625,16.8880236,68.60759588,0,0,32988134,1.21E-05,32988130,0,0,0
08-Apr-20,Maharashtra,1015,3,79,64,1018,62.64615385,0.015962672,57.5291825,0.918319465,7.760314342,6.286836935,112374333,0.000905901,112373315,-0.000133483,1,95848037.85
09-Apr-20,Assam,28,0,0,0,28,1.517615176,0.658928571,15.9754566,10.5266848,0,0,31205576,8.97E-05,31205548,-3.20E-06,1,0
09-Apr-20,Delhi,668,1,21,9,669,36.2601626,0.027578475,8.59445833,0.237022057,3.139013453,1.34529148,16787941,0.003985003,16787272,-0.000553988,1,7982787.386
09-Apr-20,Jharkhand,13,0,0,0,13,0.704607046,1.419230769,16.8880236,23.96800272,0,0,32988134,3.94E-05,32988121,-2.73E-05,1,0
09-Apr-20,Maharashtra,1132,3,117,72,1135,61.51761518,0.016255507,57.5291825,0.935166006,10.30837004,6.343612335,112374333,0.001010017,112373198,-0.000104117,1,95984485.42
10-Apr-20,Assam,29,0,0,0,29,1.258680556,0.794482759,15.9754566,12.69222483,0,0,31205576,9.29E-05,31205547,-3.20E-06,1,0
10-Apr-20,Delhi,897,1,25,13,898,38.97569444,0.025657016,8.59445833,0.220508151,2.783964365,1.44766147,16787941,0.005349078,16787043,-0.001364129,2,4216767.661
10-Apr-20,Jharkhand,13,0,0,1,13,0.564236111,1.772307692,16.8880236,29.93077413,0,7.692307692,32988134,3.94E-05,32988121,0,0,32988121
10-Apr-20,Maharashtra,1361,3,125,97,1364,59.20138889,0.016891496,57.5291825,0.971753933,9.164222874,7.11143695,112374333,0.0012138,112372969,-0.000203785,1,97631956.45
11-Apr-20,Assam,29,0,0,1,29,1.149425287,0.87,15.9754566,13.89864724,0,3.448275862,31205576,9.29E-05,31205547,0,0,31205547
11-Apr-20,Delhi,902,1,25,14,903,35.79072533,0.027940199,8.59445833,0.240130879,2.76854928,1.550387597,16787941,0.005378861,16787038,-2.98E-05,1,8807530.032
11-Apr-20,Jharkhand,17,0,0,1,17,0.673801031,1.484117647,16.8880236,25.06381385,0,5.882352941,32988134,5.15E-05,32988117,-1.21E-05,1,27830913.68
11-Apr-20,Maharashtra,1571,3,188,110,1574,62.38604836,0.016029225,57.5291825,0.922148205,11.94409149,6.988564168,112374333,0.001400676,112372759,-0.000186878,1,97390692
12-Apr-20,Assam,29,0,0,1,29,1.008344924,0.991724138,15.9754566,15.84324592,0,3.448275862,31205576,9.29E-05,31205547,0,0,31205547
12-Apr-20,Delhi,1068,1,25,19,1069,37.16968011,0.026903648,8.59445833,0.231222284,2.338634238,1.777362021,16787941,0.006367666,16786872,-0.000988858,1,9563612.895
12-Apr-20,Jharkhand,17,0,0,1,17,0.591098748,1.691764706,16.8880236,28.57056228,0,5.882352941,32988134,5.15E-05,32988117,0,0,32988117
12-Apr-20,Maharashtra,1758,3,208,127,1761,61.23087622,0.01633163,57.5291825,0.939545309,11.81147076,7.211811471,112374333,0.001567084,112372572,-0.00016641,1,97822877.31
13-Apr-20,Assam,31,0,0,1,31,0.971786834,1.029032258,15.9754566,16.43926018,0,3.225806452,31205576,9.93E-05,31205545,-6.41E-06,1,22887612
13-Apr-20,Delhi,1153,1,27,24,1154,36.17554859,0.027642981,8.59445833,0.237576448,2.339688042,2.079722704,16787941,0.006873982,16786787,-0.000506348,1,10378732.45
13-Apr-20,Jharkhand,19,0,0,2,19,0.595611285,1.678947368,16.8880236,28.35410278,0,10.52631579,32988134,5.76E-05,32988115,-6.06E-06,1,29998498.94
13-Apr-20,Maharashtra,1982,3,217,149,1985,62.22570533,0.016070529,57.5291825,0.924524394,10.93198992,7.506297229,112374333,0.001766418,112372348,-0.000199337,1,98356281.97
13-Apr-20,Nagaland,1,0,0,0,1,0.031347962,31.9,1.01287901,32.31084042,0,0,1978502,5.05E-05,1978501,0,0,0
14-Apr-20,Assam,31,0,0,1,31,0.794260825,1.259032258,15.9754566,20.1136152,0,3.225806452,31205576,9.93E-05,31205545,0,0,31205545
14-Apr-20,Delhi,1509,1,30,28,1510,38.68818857,0.025847682,8.59445833,0.222146827,1.986754967,1.854304636,16787941,0.008994552,16786431,-0.002120716,3,3329139.089
14-Apr-20,Jharkhand,24,0,0,2,24,0.614911607,1.62625,16.8880236,27.46414838,0,8.333333333,32988134,7.28E-05,32988110,-1.52E-05,1,29257828.93
14-Apr-20,Maharashtra,2334,3,229,160,2337,59.87701768,0.016700899,57.5291825,0.960789043,9.798887463,6.846384253,112374333,0.002079656,112371996,-0.000313244,1,97101056.96
14-Apr-20,Nagaland,1,0,0,0,1,0.025621317,39.03,1.01287901,39.53266776,0,0,1978502,5.05E-05,1978501,0,0,0
15-Apr-20,Assam,33,0,0,1,33,0.766016713,1.305454545,15.9754566,20.85523243,0,3.03030303,31205576,0.00010575,31205543,-6.41E-06,1,22434405.48
15-Apr-20,Delhi,1560,1,30,30,1561,36.23491179,0.027597694,8.59445833,0.237187229,1.921844971,1.921844971,16787941,0.009298341,16786380,-0.000303817,1,9976521.774
15-Apr-20,Jharkhand,27,0,0,2,27,0.626740947,1.595555556,16.8880236,26.94577988,0,7.407407407,32988134,8.18E-05,32988107,-9.09E-06,1,28822233.98
15-Apr-20,Maharashtra,2684,3,259,178,2687,62.37233055,0.01603275,57.5291825,0.922351017,9.639002605,6.624488277,112374333,0.002391115,112371646,-0.000311466,1,96626843.89
15-Apr-20,Nagaland,1,0,0,0,1,0.023212628,0,1.01287901,0,0,0,1978502,5.05E-05,1978501,0,0,0
16-Apr-20,Assam,33,0,5,1,33,0.724001755,1.381212121,15.9754566,22.0654943,15.15151515,3.03030303,31205576,0.00010575,31205543,0,0,31205543
16-Apr-20,Delhi,1577,1,42,32,1578,34.62044756,0.028884664,8.59445833,0.248248042,2.661596958,2.027883397,16787941,0.009399604,16786363,-0.000101273,1,10251682.42
16-Apr-20,Jharkhand,28,0,0,2,28,0.61430452,1.627857143,16.8880236,27.49128985,0,7.142857143,32988134,8.49E-05,32988106,-3.03E-06,1,28678481.62
16-Apr-20,Maharashtra,2916,3,295,187,2919,64.04124616,0.015614937,57.5291825,0.898314539,10.10620075,6.406303529,112374333,0.002597568,112371414,-0.000206458,1,96131142.27
16-Apr-20,Nagaland,1,0,0,0,1,0.021939447,0,1.01287901,0,0,0,1978502,5.05E-05,1978501,0,0,0
17-Apr-20,Assam,35,0,5,1,35,0.712976166,1.402571429,15.9754566,22.40671899,14.28571429,2.857142857,31205576,0.000112159,31205541,-6.41E-06,1,21990173.08
17-Apr-20,Delhi,1639,1,51,38,1640,33.40802607,0.029932927,8.59445833,0.257257292,3.109756098,2.317073171,16787941,0.009768917,16786301,-0.000369347,1,10902413.53
17-Apr-20,Jharkhand,29,0,0,2,29,0.590751681,1.692758621,16.8880236,28.58734754,0,6.896551724,32988134,8.79E-05,32988105,-3.03E-06,1,28535446.23
17-Apr-20,Maharashtra,3202,3,300,194,3205,65.28824608,0.015316693,57.5291825,0.881156808,9.360374415,6.053042122,112374333,0.002852075,112371128,-0.000254513,1,95259128.87
17-Apr-20,Nagaland,1,0,0,0,1,0.020370748,0,1.01287901,0,0,0,1978502,5.05E-05,1978501,0,0,0
18-Apr-20,Assam,35,0,9,1,35,0.686543743,1.456571429,15.9754566,23.26939364,25.71428571,2.857142857,31205576,0.000112159,31205541,0,0,31205541
18-Apr-20,Delhi,1706,1,72,42,1707,33.48371911,0.029865261,8.59445833,0.256675739,4.217926186,2.460456942,16787941,0.010168013,16786234,-0.000399135,1,11180045.91
18-Apr-20,Jharkhand,33,0,0,2,33,0.647312672,1.544848485,16.8880236,26.08943767,0,6.060606061,32988134,0.000100036,32988101,-1.21E-05,1,27970403.15
18-Apr-20,Maharashtra,3320,3,331,201,3323,65.18242448,0.015341559,57.5291825,0.882587338,9.960878724,6.048751128,112374333,0.002957081,112371010,-0.000105009,1,95247865.37
18-Apr-20,Nagaland,1,0,0,0,1,0.019615536,0,1.01287901,0,0,0,1978502,5.05E-05,1978501,0,0,0
19-Apr-20,Assam,35,0,12,1,35,0.623441397,1.604,15.9754566,25.62463239,34.28571429,2.857142857,31205576,0.000112159,31205541,0,0,31205541
19-Apr-20,Delhi,1892,1,72,43,1893,33.71927325,0.02965663,8.59445833,0.254882668,3.803486529,2.271526677,16787941,0.011275951,16786048,-0.001108051,2,6959328.215
19-Apr-20,Jharkhand,35,0,0,2,35,0.623441397,1.604,16.8880236,27.08838985,0,5.714285714,32988134,0.000106099,32988099,-6.06E-06,1,27692091.31
19-Apr-20,Maharashtra,3648,3,365,211,3651,65.03384396,0.015376609,57.5291825,0.884603754,9.997261024,5.779238565,112374333,0.003248963,112370682,-0.00029189,1,94516071.78
19-Apr-20,Nagaland,1,0,0,0,1,0.017812611,0,1.01287901,0,0,0,1978502,5.05E-05,1978501,0,0,0
20-Apr-20,Assam,35,0,17,1,35,0.55705873,1.795142857,15.9754566,28.67822681,48.57142857,2.857142857,31205576,0.000112159,31205541,0,0,31205541
20-Apr-20,Delhi,2002,1,290,45,2003,31.87967531,0.031367948,8.59445833,0.269590523,14.47828258,2.246630055,16787941,0.011931183,16785938,-0.000655306,1,10755641.43
20-Apr-20,Jharkhand,42,0,0,2,42,0.668470476,1.495952381,16.8880236,25.26367911,0,4.761904762,32988134,0.000127319,32988092,-2.12E-05,1,26739627.68
20-Apr-20,Maharashtra,4200,3,507,223,4203,66.89479548,0.014948846,57.5291825,0.859994893,12.06281228,5.305734,112374333,0.003740178,112370130,-0.000491231,1,93067293.59
20-Apr-20,Nagaland,1,0,0,0,1,0.015915964,0,1.01287901,0,0,0,1978502,5.05E-05,1978501,0,0,0
21-Apr-20,Assam,35,0,19,1,35,0.512370078,1.951714286,15.9754566,31.17952687,54.28571429,2.857142857,31205576,0.000112159,31205541,0,0,31205541
21-Apr-20,Delhi,2080,1,431,47,2081,30.4640609,0.032825565,8.59445833,0.282117947,20.71119654,2.258529553,16787941,0.012395802,16785860,-0.000464675,1,10780844.56
21-Apr-20,Jharkhand,46,0,0,2,46,0.673400673,1.485,16.8880236,25.07871505,0,4.347826087,32988134,0.000139444,32988088,-1.21E-05,1,26210144.4
21-Apr-20,Maharashtra,4666,3,572,232,4669,68.35016835,0.014630542,57.5291825,0.841683113,12.25101735,4.968944099,112374333,0.004154863,112369664,-0.000414701,1,91885570.85
21-Apr-20,Nagaland,1,0,0,0,1,0.014639145,0,1.01287901,0,0,0,1978502,5.05E-05,1978501,0,0,0
22-Apr-20,Assam,35,0,19,1,35,0.469357651,2.130571429,15.9754566,34.03685139,54.28571429,2.857142857,31205576,0.000112159,31205541,0,0,31205541
22-Apr-20,Delhi,2155,1,611,47,2156,28.91243127,0.034587199,8.59445833,0.297258236,28.33951763,2.179962894,16787941,0.012842552,16785785,-0.000446805,1,10610127.75
22-Apr-20,Jharkhand,45,0,0,3,45,0.603459836,1.657111111,16.8880236,27.98533155,0,6.666666667,32988134,0.000136413,32988089,3.03E-06,0,32988089
22-Apr-20,Maharashtra,5218,3,722,251,5221,70.01475124,0.014282704,57.5291825,0.821672312,13.82876844,4.80750814,112374333,0.004646079,112369112,-0.000491236,1,91266256.25
23-Apr-20,Assam,35,0,19,1,35,0.438376754,2.281142857,15.9754566,36.44229871,54.28571429,2.857142857,31205576,0.000112159,31205541,0,0,31205541
23-Apr-20,Delhi,2247,1,724,48,2248,28.15631263,0.035516014,8.59445833,0.305240904,32.20640569,2.135231317,16787941,0.013390564,16785693,-0.000548083,1,10508595.94
23-Apr-20,Jharkhand,49,0,8,3,49,0.613727455,1.629387755,16.8880236,27.51713886,16.32653061,6.12244898,32988134,0.000148538,32988085,-1.21E-05,1,28017045.77
23-Apr-20,Maharashtra,5649,3,789,269,5652,70.79158317,0.014125973,57.5291825,0.812655685,13.9596603,4.759377212,112374333,0.005029618,112368681,-0.000383557,1,91074125.03
24-Apr-20,Assam,36,0,19,1,36,0.404630774,2.471388889,15.9754566,39.48156594,52.77777778,2.777777778,31205576,0.000115364,31205540,-3.20E-06,1,21771366.5
24-Apr-20,Delhi,2375,1,808,50,2376,26.70563111,0.037445286,8.59445833,0.321821952,34.00673401,2.104377104,16787941,0.014153016,16785565,-0.000762554,1,10436604.51
24-Apr-20,Jharkhand,55,0,8,3,55,0.618185905,1.617636364,16.8880236,27.31868109,14.54545455,5.454545455,32988134,0.000166727,32988079,-1.82E-05,1,27462266.1
24-Apr-20,Maharashtra,6427,3,840,283,6430,72.27155221,0.013836703,57.5291825,0.79601421,13.06376361,4.401244168,112374333,0.005721947,112367903,-0.000692364,1,89529650.03
25-Apr-20,Assam,36,0,19,1,36,0.381922343,2.618333333,15.9754566,41.82907053,52.77777778,2.777777778,31205576,0.000115364,31205540,0,0,31205540
25-Apr-20,Delhi,2513,1,857,53,2514,26.67091025,0.037494033,8.59445833,0.322240908,34.08910103,2.108194113,16787941,0.014975035,16785427,-0.000822135,1,10445501.91
25-Apr-20,Jharkhand,59,0,9,3,59,0.625928284,1.597627119,16.8880236,26.98076448,15.25423729,5.084745763,32988134,0.000178852,32988075,-1.21E-05,1,27098529.54
25-Apr-20,Maharashtra,6814,3,957,301,6817,72.32123913,0.013827197,57.5291825,0.795467323,14.03843333,4.415432008,112374333,0.006066332,112367516,-0.000344404,1,89594728.7
26-Apr-20,Assam,36,0,19,1,36,0.347624566,2.876666667,15.9754566,45.95606349,52.77777778,2.777777778,31205576,0.000115364,31205540,0,0,31205540
26-Apr-20,Delhi,2624,1,869,54,2625,25.34762457,0.039451429,8.59445833,0.339063659,33.1047619,2.057142857,16787941,0.015636224,16785316,-0.000661288,1,10323195.42
26-Apr-20,Jharkhand,67,0,13,3,67,0.646967941,1.545671642,16.8880236,26.10333916,19.40298507,4.47761194,32988134,0.000203103,32988067,-2.43E-05,1,26385445.64
26-Apr-20,Maharashtra,7625,3,1076,323,7628,73.65778293,0.013576298,57.5291825,0.781033317,14.10592554,4.23439958,112374333,0.006788027,112366705,-0.000721739,1,88730766.02
27-Apr-20,Assam,36,0,27,1,36,0.324207493,3.084444444,15.9754566,49.27540836,75,2.777777778,31205576,0.000115364,31205540,0,0,31205540
27-Apr-20,Delhi,2917,1,877,54,2918,26.27881844,0.038053461,8.59445833,0.327048887,30.05483208,1.850582591,16787941,0.017381524,16785023,-0.001745573,2,5695897.963
